OCC_CODE,OCC_TITLE,occ_major_group,AIOE,AIOE_z,UAIOE,UAIOE_ev,AIOE_rank,UAIOE_rank,rank_diff,cluster,cluster_label
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",Installation & Repair,-0.8303875,-0.8309244402327487,-0.7309133651728109,-0.824045534668907,470,443,-27,0,Low Exposure Manual & Technical
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Installation & Repair,-0.4632031,-0.4635026106072602,-0.47201367857823845,-0.6460154135078859,382,394,12,0,Low Exposure Manual & Technical
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",Installation & Repair,-0.5522636,-0.5526206991136369,-0.5761277154918345,-0.7499991617526519,404,414,10,0,Low Exposure Manual & Technical
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",Installation & Repair,-0.7915968,-0.7921086573006485,-0.45200387291057204,-0.9372039998723412,462,392,-70,0,Low Exposure Manual & Technical
49-2097,Audiovisual Equipment Installers and Repairers,Installation & Repair,-0.571284,-0.5716533981286513,-0.3888940481846485,-0.6473547737785164,411,380,-31,0,Low Exposure Manual & Technical
49-2098,Security and Fire Alarm Systems Installers,Installation & Repair,-0.6926484,-0.6930962750575177,-0.5948643849806612,-0.7171200238943274,435,415,-20,0,Low Exposure Manual & Technical
49-3011,Aircraft Mechanics and Service Technicians,Installation & Repair,-0.6551197,-0.6555433081627746,-0.6520747225700204,-1.2594086248211378,428,427,-1,0,Low Exposure Manual & Technical
49-3021,Automotive Body and Related Repairers,Installation & Repair,-1.180589,-1.1813523883361827,-1.120061904856732,-1.2096021378271764,569,548,-21,0,Low Exposure Manual & Technical
49-3022,Automotive Glass Installers and Repairers,Installation & Repair,-1.202285,-1.2030624174538538,-1.3050316930317023,-0.7944361290741294,575,592,17,4,Low Exposure Routine Service
49-3023,Automotive Service Technicians and Mechanics,Installation & Repair,-0.9547055,-0.9553228270252744,-1.0871382655011184,-1.2768000040971814,505,538,33,0,Low Exposure Manual & Technical
49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,Installation & Repair,-1.010472,-1.0111253868884107,-1.2494535535993425,-1.4510326561457354,526,578,52,0,Low Exposure Manual & Technical
49-3041,Farm Equipment Mechanics and Service Technicians,Installation & Repair,-1.20703,-1.207810485676722,-1.0547275363434996,-1.4351834286412615,576,533,-43,0,Low Exposure Manual & Technical
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",Installation & Repair,-1.169815,-1.170571421627398,-1.1528962994971899,-1.6022148966315584,567,556,-11,0,Low Exposure Manual & Technical
49-3043,Rail Car Repairers,Installation & Repair,-1.448102,-1.4490383682106087,-1.3911733410730311,-1.5047439422903486,612,616,4,0,Low Exposure Manual & Technical
49-3051,Motorboat Mechanics and Service Technicians,Installation & Repair,-0.8863602,-0.8869333334294057,-1.1009727520619434,-1.0763458279591651,489,544,55,0,Low Exposure Manual & Technical
49-3052,Motorcycle Mechanics,Installation & Repair,-0.763721,-0.7642148321864166,-0.7377332680075804,-1.0643408464570303,456,448,-8,0,Low Exposure Manual & Technical
49-3053,Outdoor Power Equipment and Other Small Engine Mechanics,Installation & Repair,-0.8941408,-0.8947189645389628,-0.9951574995356784,-1.080158877128665,493,515,22,0,Low Exposure Manual & Technical
49-3091,Bicycle Repairers,Installation & Repair,-0.9226068,-0.923203371289683,-0.41310664624654675,-0.6854534946461636,498,383,-115,1,Moderate Exposure Service & Healthcare
49-3092,Recreational Vehicle Service Technicians,Installation & Repair,-0.9244052,-0.925002934175248,-0.9775065082661102,-0.8776394267809675,499,506,7,0,Low Exposure Manual & Technical
49-3093,Tire Repairers and Changers,Installation & Repair,-1.550724,-1.5517267258854637,-1.21773154362556,-1.1634130492536956,619,572,-47,0,Low Exposure Manual & Technical
49-9011,Mechanical Door Repairers,Installation & Repair,-1.383152,-1.3840463700914745,-1.1250502143431351,-1.2426422377098703,600,551,-49,0,Low Exposure Manual & Technical
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",Installation & Repair,-0.7606913,-0.7611831731147993,-0.7202886849195264,-0.8753315961555107,454,441,-13,0,Low Exposure Manual & Technical
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Installation & Repair,-0.8491117,-0.8496607477182344,-0.839244390991693,-1.1775451142353492,474,472,-2,0,Low Exposure Manual & Technical
49-9031,Home Appliance Repairers,Installation & Repair,-0.9703799,-0.9710073624420344,-0.7353411069736334,-0.8704814040617892,511,446,-65,0,Low Exposure Manual & Technical
49-9041,Industrial Machinery Mechanics,Installation & Repair,-1.133177,-1.133909730679148,-1.2118526587416445,-1.4219207516512045,557,569,12,0,Low Exposure Manual & Technical
49-9043,"Maintenance Workers, Machinery",Installation & Repair,-0.9735492,-0.9741787117821264,-1.1266606775091084,-1.1004375756814573,517,554,37,0,Low Exposure Manual & Technical
49-9044,Millwrights,Installation & Repair,-1.266085,-1.2669036719573297,-1.0000365971783345,-1.6237309170033245,587,517,-70,0,Low Exposure Manual & Technical
