OCC_CODE,OCC_TITLE,YEAR,A_MEAN,wage_eqw,wage_eqf,wage_entropy,wage_cluster
47-2121,Glaziers,2022,55160.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",2022,48870.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2132,"Insulation Workers, Mechanical",2022,59100.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2141,"Painters, Construction and Maintenance",2022,49350.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2142,Paperhangers,2022,49030.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2151,Pipelayers,2022,51230.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2152,"Plumbers, Pipefitters, and Steamfitters",2022,65190.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-2161,Plasterers and Stucco Masons,2022,55650.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2171,Reinforcing Iron and Rebar Workers,2022,57780.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2181,Roofers,2022,51910.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-2211,Sheet Metal Workers,2022,61300.0,Very Low,Q3,"(60460.0, 87500.0]","(-inf, 61812.893]"
47-2221,Structural Iron and Steel Workers,2022,64800.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-2231,Solar Photovoltaic Installers,2022,47970.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",2022,44230.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-3012,Helpers--Carpenters,2022,38880.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
47-3013,Helpers--Electricians,2022,38840.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",2022,38040.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",2022,37590.0,Very Low,Q1,"(-inf, 40715.0]","(-inf, 61812.893]"
47-3016,Helpers--Roofers,2022,40880.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-3019,"Helpers, Construction Trades, All Other",2022,40790.0,Very Low,Q1,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-4011,Construction and Building Inspectors,2022,70130.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-4021,Elevator and Escalator Installers and Repairers,2022,93960.0,Very Low,Q5,"(87500.0, 171905.0]","(61812.893, 101799.419]"
47-4031,Fence Erectors,2022,43780.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-4041,Hazardous Materials Removal Workers,2022,51620.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-4051,Highway Maintenance Workers,2022,45790.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-4061,Rail-Track Laying and Maintenance Equipment Operators,2022,63840.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-4071,Septic Tank Servicers and Sewer Pipe Cleaners,2022,47580.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-4090,Miscellaneous Construction and Related Workers,2022,48620.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5011,"Derrick Operators, Oil and Gas",2022,53770.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5012,"Rotary Drill Operators, Oil and Gas",2022,60450.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5013,"Service Unit Operators, Oil and Gas",2022,57170.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",2022,53490.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5023,"Earth Drillers, Except Oil and Gas",2022,57250.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters",2022,61560.0,Very Low,Q3,"(60460.0, 87500.0]","(-inf, 61812.893]"
47-5041,Continuous Mining Machine Operators,2022,57120.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5043,"Roof Bolters, Mining",2022,63990.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-5044,"Loading and Moving Machine Operators, Underground Mining",2022,62420.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-5049,"Underground Mining Machine Operators, All Other",2022,61990.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
47-5051,"Rock Splitters, Quarry",2022,47010.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5071,"Roustabouts, Oil and Gas",2022,45750.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5081,Helpers--Extraction Workers,2022,44410.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
47-5099,"Extraction Workers, All Other",2022,53220.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",2022,76020.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
49-2011,"Computer, Automated Teller, and Office Machine Repairers",2022,47120.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
49-2021,"Radio, Cellular, and Tower Equipment Installers and Repairers",2022,62570.0,Very Low,Q3,"(60460.0, 87500.0]","(61812.893, 101799.419]"
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",2022,61670.0,Very Low,Q3,"(60460.0, 87500.0]","(-inf, 61812.893]"
49-2091,Avionics Technicians,2022,74730.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
49-2092,"Electric Motor, Power Tool, and Related Repairers",2022,51500.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",2022,71740.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",2022,66650.0,Very Low,Q4,"(60460.0, 87500.0]","(61812.893, 101799.419]"
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",2022,88770.0,Very Low,Q4,"(87500.0, 171905.0]","(61812.893, 101799.419]"
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",2022,45720.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
49-2097,Audiovisual Equipment Installers and Repairers,2022,48450.0,Very Low,Q2,"(40715.0, 60460.0]","(-inf, 61812.893]"
49-2098,Security and Fire Alarm Systems Installers,2022,54280.0,Very Low,Q3,"(40715.0, 60460.0]","(-inf, 61812.893]"
