AREA,AREA_TITLE,AREA_TYPE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,OCC_CODE,OCC_TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,PCT_TOTAL,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY,YEAR,PRIM_STATE,PCT_RPT,MAJOR_SOC,MAJOR_TITLE
99,U.S.,1,0,Cross-industry,cross-industry,1235,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,458510,0.9,,,,45.27,94160.0,0.6,22.71,29.74,39.22,52.56,75.07,47230.0,61850.0,81590.0,109330.0,156150.0,,,2019,,,13,Business and Financial Operations Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1211,Computer Systems Analysts,detailed,589060,1.0,,,,46.23,96160.0,0.4,26.53,33.65,43.71,56.31,71.0,55180.0,70000.0,90920.0,117120.0,147670.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1212,Information Security Analysts,detailed,125570,1.8,,,,50.1,104210.0,0.5,27.79,36.27,47.95,61.85,76.37,57810.0,75450.0,99730.0,128640.0,158860.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1221,Computer and Information Research Scientists,detailed,30780,3.6,,,,61.28,127460.0,1.4,33.65,44.85,59.06,74.05,91.24,69990.0,93290.0,122840.0,154020.0,189780.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1231,Computer Network Support Specialists,detailed,185430,1.3,,,,33.1,68860.0,0.5,18.75,23.63,30.51,40.01,51.17,38990.0,49160.0,63460.0,83230.0,106420.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1232,Computer User Support Specialists,detailed,647330,0.8,,,,27.19,56550.0,0.4,15.54,19.39,25.13,32.72,42.53,32330.0,40340.0,52270.0,68060.0,88470.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1241,Computer Network Architects,detailed,152420,1.5,,,,55.34,115110.0,0.5,31.14,41.01,54.18,68.56,80.96,64770.0,85290.0,112690.0,142610.0,168390.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1244,Network and Computer Systems Administrators,detailed,354450,0.8,,,,42.51,88410.0,0.2,25.18,31.47,40.15,51.11,63.71,52370.0,65460.0,83510.0,106310.0,132520.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1245,Database Administrators and Architects,detailed,125460,1.1,,,,46.21,96110.0,0.4,24.91,32.86,45.07,58.12,71.18,51800.0,68340.0,93750.0,120880.0,148060.0,,,2019,,,15,Computer and Mathematical Occupations
99,U.S.,1,0,Cross-industry,cross-industry,1235,15-1251,Computer Programmers,detailed,199540,1.6,,,,44.53,92610.0,1.4,24.11,31.62,41.61,53.91,67.43,50150.0,65760.0,86550.0,112120.0,140250.0,,,2019,,,15,Computer and Mathematical Occupations
