OCC_CODE,OCC_TITLE_FELTEN,AIOE,AIOE_z
31-9095,Pharmacy Aides,-0.1552654,-0.15536579121987681
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,-0.7735824,-0.7740826087876796
31-9097,Phlebotomists,-0.2778475,-0.27802715554073193
31-9099,"Healthcare Support Workers, All Other",0.1660077,0.16611505113467995
33-1011,First-Line Supervisors/Managers of Correctional Officers,-0.5584278,-0.5587888850228897
33-1012,First-Line Supervisors/Managers of Police and Detectives,-0.1923298,-0.19245415788788056
33-1021,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers,-0.593021,-0.5934044537578372
33-2011,Fire Fighters,-1.320232,-1.3210856846156327
33-2021,Fire Inspectors and Investigators,0.062793,0.06283361020678133
33-2022,Forest Fire Inspectors and Prevention Specialists,-0.2144127,-0.21455133718372402
33-3011,Bailiffs,-0.5103183,-0.5106482763467928
33-3012,Correctional Officers and Jailers,-0.8875365,-0.8881103940512307
33-3021,Detectives and Criminal Investigators,0.2257696,0.2259155945125998
33-3031,Fish and Game Wardens,-0.4585168,-0.45881328034112173
33-3041,Parking Enforcement Workers,-0.6239931,-0.6243965810087323
33-3051,Police and Sheriff's Patrol Officers,-0.6681123,-0.6685443094678195
33-3052,Transit and Railroad Police,-0.8205515,-0.8210820800556924
33-9011,Animal Control Workers,-0.5946321,-0.5950165955310434
33-9021,Private Detectives and Investigators,0.7483108,0.7487946813112174
33-9031,Gaming Surveillance Officers and Gaming Investigators,0.7283933,0.7288643022113273
33-9032,Security Guards,-0.3908421,-0.3910948203701751
33-9091,Crossing Guards,-0.5699511,-0.5703196362457723
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",-0.4718385,-0.4721435944495693
33-9093,Transportation Security Screeners,-0.5068558,-0.507183537417039
33-9099,"Protective Service Workers, All Other",0.0764088,0.07645821448685075
35-1011,Chefs and Head Cooks,-0.2676433,-0.2678163572773405
35-1012,First-Line Supervisors/Managers of Food Preparation and Serving Workers,-0.2575492,-0.25771573020706556
35-2011,"Cooks, Fast Food",-0.7131837,-0.7136448536406718
35-2012,"Cooks, Institution and Cafeteria",-0.6360813,-0.6364925975085587
35-2013,"Cooks, Private Household",-0.7867444,-0.7872531196305441
35-2014,"Cooks, Restaurant",-0.7418264,-0.7423060746495544
